GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
settings_manager,com.fujitsu.fnc.vta.settingsmanager,SettingsManagerApplication,0,8,0,0,0,3,0,2,0,2
settings_manager,com.fujitsu.fnc.vta.settingsmanager.service,SettingsService,107,498,22,29,20,99,16,23,0,13
settings_manager,com.fujitsu.fnc.vta.settingsmanager.component,ComponentScheduler,0,7,0,0,0,3,0,2,0,2
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,FilterSet.Rule,32,163,22,16,0,5,18,14,0,13
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,Response.ResponseBuilder,8,28,0,0,0,1,1,5,1,5
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,Filters,75,453,47,49,0,26,41,37,0,30
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,Response,20,135,13,13,0,5,11,14,0,12
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,NEs,2469,443,538,0,6,67,284,126,15,126
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,Entity,1174,248,282,0,0,36,145,71,4,71
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,FilterSet,14,101,10,12,0,3,8,12,0,9
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,SortList,20,95,13,9,0,3,11,9,0,9
settings_manager,com.fujitsu.fnc.vta.settingsmanager.model,SortingSet,12,103,9,13,0,3,7,13,0,9
settings_manager,com.fujitsu.fnc.vta.settingsmanager.enums,ResponseStatus,0,84,0,0,0,15,0,4,0,4
settings_manager,com.fujitsu.fnc.vta.settingsmanager.controller,SettingController,18,379,16,24,0,111,16,11,0,7
